Data,Vietovė,Elemento tipas,Kelias
2018-11-30,"​Forto g. (Šakių k.) formuojama slėgio zona, uždaromos vandentiekio sklendės.
Laisvės al. 33 tikrinamas vandentiekio įvado pralaidumas.
Kranto 16-oji g. 18, Raudondvario 7- as takas 3 atjungiami vandentiekio įvadai.
Birželio 23-iosios g. 14, Šv. Gertrūdos g. 14B, Rotušės a. 10 valomi šuliniai.
Palangos g. 16, Islandijos pl. 215 remontuojamas buitinių nuotekų šulinys.
Saulės g. 16A  remontuojamas lietaus nuotekų surinkimo šulinys.
Šv. Gertrūdos g. 14B, Rotušės a. 10, Europos pr. 120, Veršvos g. 2, Vokiečių g. 119 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-29,"​Lapkričio 29 d. nuo 23 val. iki  lapkričio 30 d. 3 val. laikinai bus nutraukiamas vandens tiekimas Neries kr. atkarpoje nuo Sąjungos a. iki K. Griniaus g.
Gabijos g. 2 remontuojamas vandentiekio įvadas.
A. Mickevičiaus g., J. Zikaro g. tikrinamos vandentiekio sklendės.  
Vandžiogalos pl. 20, Raudondvario pl. 99, Raudondvario 7-as takas 3, Žiedų g. 20 nutraukiamas vandens tiekimas.
M. Daukšos g. 26A, Dujotiekio g. 24 remontuojami šuliniai.
Vilniaus g. 36 remontuojama nuotekų linija.
Šv. Gertrūdos g. 14B, Rotušės a. 10, Nepriklausomybės g. 12 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-28,"​Lapkričio 28 d. nuo 9 val. iki 13 val. laikinai nutraukiamas vandens tiekimas Ringaudų ir Akademijos gyvenvietėse - Obelynės g., Medeinos g., Varžupio g., Varžupio 1-oji g., Varžupio 2-oji g.,Varžupio 3-oji g., T. Ivanausko g., Putinų g.
Lapkričio 28 d. nuo 11 val. iki 14 val. laikinai nutraukiamas vandens tiekimas Nemuno g. atkarpoje nuo Smalininkų g. iki Birštono g.
Lapkričio 29 d. nuo 23 val. iki  lapkričio 30 d. 3 val. laikinai bus nutrauktas vandens tiekimas Neries kr. atkarpoje nuo Sąjungos a. iki K. Griniaus g.
Seniavos pl., Gvazdikų g. dėl kokybės bus plaunamos vandentiekio linijos.  Ilgoji g. tikrinami vandentiekio tinklai ir gaisriniai hidrantai.
P. Plechavičiaus g. 6 remontuojamas vandentiekio įvadas.
T. Masiulio g. 16  remontuojama vandentiekio linija.
Partizanų g. 190, Trakų g. 1 remontuojami vandens apskaitos mazgai.
Šarkuvos g. 27, V. Krėvės pr. 47, Šiaurės pr. 99a tikrinami šuliniai.
Chodkevičių g. 9 (Romainiai), Šv. Gertrūdos g. 14B, Partizanų g. tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-27,"​Lapkričio 27 d. nuo 13 val. iki 15 val. laikinai nutraukiamas vandens tiekimas Medžių g., Staugaičio g. Birutės g. Nr. 1-13, 2-1. Laikinai gali pablogėti vandens kokybė.
Savanorių pr. 236, Sedulų g. 2 (Vaišvydava) remontuojamos vandentiekio linijos.
Kokybės g, (LEZ), V. Krėvės pr. 133A plaunami vandentiekio įvadai.
Neries Krantinė, K. Griniaus g., Pakraščio g. 35, Vinių g.15. tikrinamos vandentiekio sklendės.
Užnemunės g., Marvelės g. remontuojama vandentiekio sklendė.
Rimvydo g. 28, Raudondvario pl. 93, Masiulio g. 22 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai. 
Kalniečių g. 186 remontuojamas buitinių nuotekų šulinys.
Raudondvario pl. 93 valomi šuliniai.
V. Montvilos g., Vienybės g., Pavasario g. (Garliava) tikslinami nelegalūs lietaus nuotekų pajungimo į buitinių nuotekų tinklą atvejai.",Elementas,Lists/darbai
2018-11-26,"​Dėl magistralinės vandentiekio linijos  rekonstrukcijos darbų nuo 2018 m. lapkričio 26 d.  iki  2019 m. vasario 14 d. Centro ir Vilijampolės mikrorajonams, geriamasis vanduo bus tiekiamas sumažintu slėgiu. Galimas vandens kokybės pablogėjimas.
L. Ivinskio g., Geležinkelio g. išjungiama vandentiekio linija.
Neries krantinė, Jonavos g. tikrinamos vandentiekio sklendės, valomi šuliniai.
Kruonio g. 23  keičiama vandentiekio sklendė
V. Krėvės pr., Pramonės pr. tikrinami vandentiekio tinklai.
Švenčionių g. 2, 29 keičiami šulinių liukai ir dangčiai.
Islandijos pl. 215 remontuojamas lietaus nuotekų tinklo šulinys.
Mažeikių g., Vinių g., Sąjungos a. 11, J. Basanavičiaus al. 62, Liškiavos g. 7 - 17, B. Bradausko g., Medvėgalio g. 13 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-23,"​T. Masiulio g. 22B remontuojama vandentiekio linija.
Pikulo g., A. Stulginskio g., Linkuvos g. tikrinami vandentiekio tinklai.
Kareivinių g., Plento g. plaunama vandentiekio linija.  
M. Daukšos g. 26A, Griunvaldo g. 2, Dujotiekio g. 2 remontuojami šuliniai.
Dujotiekio g. 24, Lozoraičio g. 13, Rotušės a. 10, Pramonės pr. 15,  Savanorių pr. 239 B, R. Kalantos g. 119c tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-22,"​Kovo 11-osios g. 102 remontuojama vandentiekio linija.
Amerikos Lietuvių g. 4 remontuojamas vandentiekio įvadas.
Panerių g., Varnių g. tikrinami vandentiekio tinklai.
T. Masiulio g. montuojami vandens nutekėjimo davikliai.  
Forto g., Vandžiogalos pl., Seminarijos g. (Domeikava) tikrinamos vandentiekio sklendės.
Aukštieji Šančiai tikrinami gaisriniai hidrantai.  
S. Žukausko g. 6 remontuojamas šulinys, keičiamas liukas ir dangtis.
Ryšių g. 30, Partizanų g. 51, 216, Medvėgalio g. 30 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-21,"​Lapkričio 21 d. nuo 22 val. iki 22 d. 6 val. laikinai bus nutrauktas vandens tiekimas Vaidoto g. Nr. 36, 42-48, 68-114, 79-149, Kareivinių g. Nr. 2-10, 3-9, Z. Gerulaičio g. Nr. 2,4,6, K. Veverskio g. Nr. 1,3,4,6. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.
Obelių g. 12 (Domeikava) remontuojama vandentiekio kamera.
Romuvos g. 19 (Romainiai) atjungiamas vandentiekio įvadas.
Rietavo g. 17 tikrinami vandentiekio tinklai.
M. Gimbutienės g., T. Masiulio g., Eglutės takas, Energetikų g., Nemajūnų g. tikslinamos vandens nutekėjimo vietos, demontuojami ir montuojami vandens nutekėjimo davikliai.
Aukštieji Šančiai tikrinami gaisriniai hidrantai.  
Neries krantinė 14, R. Mizaros g. 7 (Garliava)  remontuojami šuliniai, keičiami dangčiai ir liukai. 
Vilniaus g. 36 remontuojama nuotekų linija.
Ryšių g. 30, Liškiavos g. 7 - 17, A. Juozapavičiaus pr. 24 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-20,"Įgulos g., Seminarijos g. (Domeikava) prieš atnaujinant vandens tiekimą tikrinamos vandentiekio sklendės.
Žiburių g. 34 remontuojama vandentiekio linija.  
Jurbarko g. 37 remontuojama vandentiekio kamera.
Šarkuvos g. 33, Rietavo g. 5 tikrinami vandentiekio tinklai.
Energetikų g., Nemajūnų g., T. Masiulio g. tikslinamos vandens nutekėjimo vietos, montuojami vandens nutekėjimo davikliai. 
Raudondvario pl. 99 tikrinami vandentiekio tinklai ir sklendės, matuojamas vandens slėgis.  
Maumedžių g. 11 (Noreikiškės) remontuojama nuotekų linija.
Antanavos g. 6 tikrinami nuotekų šuliniai.
Žvaigždžių g. 15, Žiemių g. 3, Muitinės g. 13, Neries krantinė 9, Vaidoto g. 17-19, Piliakalnio g. 10 tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
2018-11-19,"​R. Kalantos g. 120 remontuojama vandentiekio linija. Partizanų g. 138 remontuojamas vandentiekio įvadas.
V. Kuzmos g. 8 permontuojamas vandens apskaitos mazgas.
Vaistinės skg. 14 remontuojamas šulinys, keičiamas liukas ir dangtis.
Puodžių g. 8 tikrinami vandentiekio šuliniai.
Kuršių g. 12, Šarkuvos g. 17 tikrinami vandentiekio tinklai.
T. Masiulio g., Nemajūnų g., Energetikų g. tikslinamos vandens nutekėjimo vietos.
Verkių g., Žarėnų g., Alsėdžių g.  tikrinami gaisriniai hidrantai.
Šiltnamių g. 5, Baltų pr. 81, Josvainių g. 25A valomi šuliniai.
P. Vileišio g. 5, Palemono g. 46, Savanorių pr. 192, Baltų pr. 81, Šiltnamių g. 5, Josvainių g. 25A tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.",Elementas,Lists/darbai
