Data,Pastabos,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas
2018-12-20,tikrinamas vandentiekio įvadas.,Tulpių g. 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,tvarkoma įgriuva.,A. Mapu g. 13A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,remontuojamas šulinys.,A. Juozapavičiaus pr. 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,tikrinami gaisriniai hidrantai.,Savanorių pr.,Pramonės pr.,Partizanų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,valomi šuliniai.,Partizanų g. 48,Partizanų g. 68,Užliedžių g.,Marių g. 7,S. Daukanto g. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,tikrinami ir plaunami buitinių ir lietaus nuotekų tinklai.,Partizanų g. 48,Partizanų g. 68,Užliedžių g.,Marių g. 7,Daukanto g. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,remontuojamas lietaus nuotekų tinklo šulinys.,Pramonės pr. 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,"remontuojamas buitinių nuotekų tinklo šulinys, tvarkoma įgriuva.",Ukmergės g. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,Dėl  vandentiekio linijos remonto darbų gruodžio 19 d. nuo 8 val. iki 11 val. laikinai nutrauktas vandens tiekimas. Atnaujinus vandens tiekimą gali pablogėti vandens kokybė.,Savanorių pr. Nr. 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,remontuojama vandentiekio linija.,P. Plechavičiaus g. 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
