Data,Pastabos,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas,Adresas
2018-11-27,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Rimvydo g. 28,Raudondvario pl. 93,Masiulio g. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,remontuojamas buitinių nuotekų šulinys.,Kalniečių g. 186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,valomi šuliniai.,Raudondvario pl. 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,tikslinami nelegalūs lietaus nuotekų pajungimo į buitinių nuotekų tinklą atvejai.,V. Montvilos g.,Vienybės g.,Pavasario g. (Garliava),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,"Dėl magistralinės vandentiekio linijos  rekonstrukcijos darbų nuo 2018 m. lapkričio 26 d.  iki  2019 m. vasario 14 d., geriamasis vanduo bus tiekiamas sumažintu slėgiu. Galimas vandens kokybės pablogėjimas.",Centro ir Vilijampolės mikrorajonai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,išjungiama vandentiekio linija.,L. Ivinskio g.,Geležinkelio g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,"tikrinamos vandentiekio sklendės, valomi šuliniai.",Neries krantinė,Jonavos g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,keičiama vandentiekio sklendė,Kruonio g. 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,tikrinami vandentiekio tinklai.,V. Krėvės pr.,Pramonės pr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,keičiami šulinių liukai ir dangčiai.,Švenčionių g. 2,Švenčionių g. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,remontuojamas lietaus nuotekų tinklo šulinys.,Islandijos pl. 215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Mažeikių g.,Vinių g.,Sąjungos a. 11,J. Basanavičiaus al. 62,Liškiavos g. 7 - 17,B. Bradausko g.,Medvėgalio g. 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,remontuojama vandentiekio linija.,T. Masiulio g. 22B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,tikrinami vandentiekio tinklai.,Pikulo g.,A. Stulginskio g.,Linkuvos g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,plaunama vandentiekio linija.,Kareivinių g.,Plento g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,remontuojami šuliniai.,M. Daukšos g. 26A,Griunvaldo g. 2,Dujotiekio g. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Dujotiekio g. 24,Lozoraičio g. 13,Rotušės a. 10,Pramonės pr. 15,Savanorių pr. 239 B,R. Kalantos g. 119c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,remontuojama vandentiekio linija.,Kovo 11-osios g. 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,remontuojamas vandentiekio įvadas.,Amerikos Lietuvių g. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,tikrinami vandentiekio tinklai.,Panerių g.,Varnių g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,montuojami vandens nutekėjimo davikliai.,T. Masiulio g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,tikrinamos vandentiekio sklendės.,Forto g.,Vandžiogalos pl.,Seminarijos g. (Domeikava),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,tikrinami gaisriniai hidrantai.,Aukštieji Šančiai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,"remontuojamas šulinys, keičiamas liukas ir dangtis.",S. Žukausko g. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Ryšių g. 30,Partizanų g. 51,216,Medvėgalio g. 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,Lapkričio 21 d. nuo 22 val. iki 22 d. 6 val. laikinai bus nutrauktas vandens tiekimas. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.,Vaidoto g. 36,Vaidoto g. 42-48,Vaidoto g. 68-114,Vaidoto g. 79-149,Kareivinių g. 2-10,Kareivinių g. 3-9,Z. Gerulaičio g. 2,Z. Gerulaičio g. 4,Z. Gerulaičio g. 6,K. Veverskio g. 1,K. Veverskio g. 3,K. Veverskio g. 4,K. Veverskio g. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,remontuojama vandentiekio kamera.,Obelių g. 12 (Domeikava),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,atjungiamas vandentiekio įvadas.,Romuvos g. 19 (Romainiai),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,tikrinami vandentiekio tinklai.,Rietavo g. 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,"tikslinamos vandens nutekėjimo vietos, demontuojami ir montuojami vandens nutekėjimo davikliai.",M. Gimbutienės g.,T. Masiulio g.,Eglutės takas,Energetikų g.,Nemajūnų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,tikrinami gaisriniai hidrantai.,Aukštieji Šančiai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,"remontuojami šuliniai, keičiami dangčiai ir liukai.",Neries krantinė 14,"R. Mizaros g. 7, Garliava",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,remontuojama nuotekų linija.,Vilniaus g. 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Ryšių g. 30,Liškiavos g. 7 - 17,A. Juozapavičiaus pr. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,prieš atnaujinant vandens tiekimą tikrinamos vandentiekio sklendės.,Įgulos g.,"Seminarijos g., Domeikava",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,remontuojama vandentiekio linija.,Žiburių g. 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,remontuojama vandentiekio kamera.,Jurbarko g. 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,tikrinami vandentiekio tinklai.,Šarkuvos g. 33,Rietavo g. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,"tikslinamos vandens nutekėjimo vietos, montuojami vandens nutekėjimo davikliai.",Energetikų g.,Nemajūnų g.,T. Masiulio g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,"tikrinami vandentiekio tinklai ir sklendės, matuojamas vandens slėgis.",Raudondvario pl. 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,remontuojama nuotekų linija.,"Maumedžių g. 11, Noreikiškės",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,tikrinami nuotekų šuliniai.,Antanavos g. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Žvaigždžių g. 15,Žiemių g. 3,Muitinės g. 13,Neries krantinė 9,Vaidoto g. 17-19,Piliakalnio g. 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,remontuojama vandentiekio linija.,R. Kalantos g. 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,remontuojamas vandentiekio įvadas.,Partizanų g. 138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,permontuojamas vandens apskaitos mazgas.,V. Kuzmos g. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,"remontuojamas šulinys, keičiamas liukas ir dangtis.",Vaistinės skg. 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,tikrinami vandentiekio šuliniai.,Puodžių g. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,tikrinami vandentiekio tinklai.,Kuršių g. 12,Šarkuvos g. 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,tikslinamos vandens nutekėjimo vietos.,T. Masiulio g.,Nemajūnų g.,Energetikų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,tikrinami gaisriniai hidrantai.,Verkių g.,Žarėnų g.,Alsėdžių g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,valomi šuliniai.,Šiltnamių g. 5,Baltų pr. 81,Josvainių g. 25A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,P. Vileišio g. 5,Palemono g. 46,Savanorių pr. 192,Baltų pr. 81,Šiltnamių g. 5,Josvainių g. 25A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,plaunama vandentiekio linija.,Veiverių g.,Lakūnų pl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,prieš nutraukiant vandens tiekimą tikrinamos sklendės.,Veiverių g.,Europos pr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,keičiama įvadinė vandentiekio sklendė.,Lazdijų g. 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,remontuojamas vandens apskaitos mazgas.,E. Fryko g. 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,tikrinami gaisriniai hidrantai.,Islandijos pl.,Šiaurės pr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,valomi ir remontuojami šuliniai.,Maumedžių g. 11,Stumbro g. 1,Sąjungos a. 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,remontuojama buitinių nuotekų tinklo linija.,Draugystės g. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Vilniaus g. 36,Gintariškių g. 25,Neries kr. 9,Ryšių g. 30,Partizanų pr. 90 – 108,Stumbro g. 1,Juozapavičiaus pr. 24,Maumedžių g. 11,Žvaigždžių g. 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,"15 d. dėl vandentiekio rekonstrukcijos darbų laikinai nutraukiamas vandens tiekimas - nuo 13 val. iki 15 val. (Birutės g. atkarpoje nuo Vaidoto g. iki Pušų g.),",Birutės g.,Medžių g.,J. Staugaičio g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,"nuo 20 val. iki 6 val.  (atkarpoje nuo Europos pr. iki Lakūnų pl.),",Veiverių g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,nuo 23 val. iki 2 val.,(Vijūkų k. ir Giraitės k.) Adolfo Šapokos g. (nuo Girios g. iki Topolių g.),Pušyno g.,Beržų g.,Žaros g.,Bajorų g.,Aguonų g.,Jazminų g.,Ąžuolų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,16 d. dėl vandentiekio rekonstrukcijos darbų laikinai nutraukiamas vandens tiekimas - nuo 2 val. iki 5 val. Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.,Savanorių pr. 290A,Savanorių pr. 290B,Savanorių pr. 292,Savanorių pr. 292B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,remontuojami vandentiekio įvadai.,Pramonės pr. 31,Verkių g. 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,remontuojamas vandens apskaitos mazgas.,Vaižganto g. 9A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,tikrinami vandentiekio tinklai.,A. Purėno g. 32,Vaižganto g. 12,Baltų pr. 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,tikrinamos vandentiekio sklendės.,Neries kr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,remontuojamas buitinių nuotekų tinklo šulinys.,Sąjungos a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Rokų g. 34,Virgalės g. Vilniaus g. 36,Sandėlių g. 7,A. Kačanausko g. 11,Užliedžių g. 19,A. Juozapavičiaus pr. 24,Ramybės g. 53,Maumedžių g. 11,Aukštoji g. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,valomi buitinių nuotekų tinklo šuliniai.,Maumedžių g. 11,A. Juozapavičiaus pr. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,Dėl vandentiekio sklendžių keitimo darbų 14 d. nuo 9 val. iki 17 val. laikinai bus nutrauktas vandens tiekimas J. Mateikos g. ir S. Moniuškos g. (atkarpoje tarp J. Mateikos g. ir M. Jankaus g.). Atnaujinus vandens tiekimą laikinai gali pablogėti vandens kokybė.,J. Mateikos g.,S. Moniuškos g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,remontuojama vandentiekio linija.,Universiteto g. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,remontuojamas vandentiekio įvadas.,Jonavos g. 136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,tikrinamos ir keičiamos vandentiekio sklendės.,Baterijos pl.,Seinų g.,Siūlų g.,Drobės g.,Nyčių g.,Šeivų g.,Pušyno g. Trakų g. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,demontuojami vandens nutekėjimo davikliai.,Chemijos g.,Studentų g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,plaunami šuliniai.,Užliedžių g. 19,Sandėlių g. 7,Ramunių g. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,keičiami šulinių liukai ir dangčiai.,Piliakalnio g. 63,Aukštoji g. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,tikrinami vandentiekio tinklai.,Vaižganto g.,L. Ivinskio g.,Erdvės g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Virgalės g.,Sandėlių g. 7,Partizanų g. 49,A. Kačanausko g. 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,vandentiekio tinkluose matuojamas vandens slėgis.,Nemuno g. 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,"tikslinamos vandens nutekėjimo vietos, montuojami vandens nutekėjimo davikliai.",Chemijos g. 17A,Studentų g.,A. Baranausko g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,tikrinamos vandentiekio sklendės.,Veiverių g.,Lakūnų g.,Europos pr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,tikrinami ir plaunami buitinių nuotekų tinklai.,J. Žemgulio g. 7,Salyno g.,Virgalės g.,Partizanų g. 49B,T. Masiulio g. 13A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,remontuojami šuliniai.,Rimvydo g. 7,Vilniaus g. 28A,Demokratų g. 37,Šv. Gertrūdos g. 39,Kovo 11-osios g. 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,plaunami šuliniai.,Užliedžių g. 19,Pyvesos g. 23,Palemono g. 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,remontuojama vandentiekio linija.,Jazminų g. 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,permontuojamas vandens apskaitos mazgas.,Trakų g. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,tikrinami vandentiekio įvadai ir sklendės.,M. Riomerio g.,Biržiškų g.,A. ir J. Gravrogkų g.,K. Baršausko g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,tikrinami vandentiekio tinklai.,Lekėčių g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,tikrinami ir plaunami buitinių nuotekų tinklai.,Partizanų g,9,A. Kačanausko g. 11,Laisvės al. 74,A. Juozapavičiaus pr. 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,tikslinami neteisėti lietus nuotekų pajungimo į buitinių nuotekų tinklus atvejai.,V. Montvilos g.,Vienybės g.,Pavasario g. (Garliavoje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,remontuojamas vandentiekio įvadas.,Mažoji g. 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,tikrinami šuliniai ir sklendės.,Aukštaičių g.,Kauko al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,"remontuojamas gaisrinis hidrantas, permontuojamas šulinys.",Vaidoto g. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,valomi šuliniai.,Vasario 16 - osios g. 9,Lukšynės g. 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,remontuojama buitinių nuotekų tinklo linija.,Muitinės g. 27 (Domeikava ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,tikrinami ir plaunami lietaus ir buitinių nuotekų tinklai.,Partizanų g. 9,Romainių g. 96,Kuršių g. 12,Vasario 16 - osios g. 9,Lukšynės g. 15,Apuolės g. 7,Salyno g.,Virgalės g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,"atkarpoje nuo L. Sapiegos g. iki Vilniaus g. bus tikrinama vandentiekio linija ir įvadai. Pastebėjus, jog sutriko vandens tiekimas, gyventojų prašoma skambinti avarinei tarnybai tel. (8 37) 31 35 92.",Laisvės al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,remontuojamas buitinių nuotekų tinklas.,Trakų g. 34,Nemuno g. 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,tikrinami buitinių nuotekų tinklai.,T. Masiulio g. 18,Medvėgalio g. 25,Aušros g. 30,Aušros g. 65,Rožių g. 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,valomi šuliniai.,T. Masiulio g. 18,Medvėgalio g. 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,tikslinami neteisėti lietaus nuotekų pajungimo į buitinių nuotekų tinklą atvejai.,Tremtinių g. 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-07,Dėl vandentiekio remonto darbų 7 d. nuo 9 val. iki 18 val. laikinai bus nutrauktas vandens tiekimas. Atnaujinus vandens tiekimą gali pablogėti vandens kokybė.,Šilelio g.,Įgulos g.,Seminarijos g.,Varpo g.,Vijuonos g.,Girios g.,Tūkstantmečio g.,Neringos g.,Žuvų g. (Šakių k. Domeikavos seniūnija),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
